BotName Jack
Time LocX LocY LocZ Health DistToEnemy Shooting AltShooting EnemyVisibility Jumping Crouching
1858 2969.31 -1508.68 -78.1 115 22.75 false false true false false
1858 2969.31 -1508.68 -78.1 115 22.75 false false true false false
1906 2954.52 -1491.4 -78.1 115 45.5 false false true false false
1983 2931.62 -1465.13 -78.1 115 80.34 false false true false false
2011 2916.61 -1448.03 -78.1 115 103.1 false false false false false
2061 2901.58 -1430.96 -78.1 115 125.84 false false false false false
2108 2886.21 -1413.53 -78.1 115 149.08 false false false false false
2161 2866.81 -1401.79 -78.1 115 170.8 false false false false false
2234 2844.66 -1394.86 -78.1 115 191.36 false false false false false
2257 2822.3 -1390.73 -78.1 115 210.82 false false false false false
2307 2799.23 -1387.9 -78.1 115 230.66 false false false false false
2357 2776.58 -1385.81 -78.1 115 250.33 false false false false false
2406 2753.91 -1384.06 -78.1 115 270.32 false false false false false
2461 2730.73 -1382.45 -78.1 115 291.08 false false false false false
2505 2708.03 -1380.95 -78.1 115 311.72 false false false false false
2556 2684.84 -1379.47 -78.1 115 333.06 false false false false false
2608 2650.55 -1377.31 -78.1 115 365.04 false false false false false
2657 2627.85 -1375.89 -78.1 115 386.42 false false false false false
2742 2595.79 -1364.86 -78.1 115 420.26 false false false false false
2796 2576.68 -1351.66 -78.1 115 443 false false false false false
2884 2532.73 -1338.72 -78.1 115 488.52 false false false false false
2956 2510.2 -1335.62 -78.1 115 510.55 false false false false false
2992 2487.05 -1333.69 -78.1 115 532.79 false false false false false
3054 2452.7 -1333.5 -78.1 115 565.02 false false false false false
3141 2407.4 -1337.58 -78.1 115 606.52 false false false false false
3215 2391.16 -1339.57 -78.1 115 621.37 false false false false false
3262 2387.84 -1339.98 -78.1 115 624.42 false false false false false
3346 2387.4 -1349.13 -78.1 115 622.17 false false false false false
3433 2396.9 -1365.59 -78.1 115 608.52 false false false false false
3511 2429.06 -1393.16 -78.1 115 570.51 false false false false false
3594 2456.84 -1413.39 -78.1 115 538.94 false false false false false
3676 2500.38 -1425.33 -78.1 115 493.88 false false false false false
3732 2523.1 -1424.42 -78.1 115 471.85 false false false false false
3784 2545.15 -1419.52 -78.1 115 451.48 false false false false false
3854 2564.39 -1406.59 -78.1 115 436.17 false false false false false
3895 2580.51 -1390.56 -78.1 115 425.53 false false false false false
3930 2595.37 -1372.7 -78.1 115 417.7 false false false false false
3985 2603.36 -1351.49 -78.1 115 418.68 false false false false false
4027 2606.57 -1328.49 -78.1 115 425.94 false false false false false
4086 2605.67 -1294.4 -78.1 115 443.56 false false false false false
4131 2596.61 -1276.32 -78.1 115 460.85 false false false false false
4199 2579.31 -1268.43 -78.1 115 479.67 false false false false false
4245 2546.04 -1264.2 -78.1 115 510.21 false false false false false
4309 2522.85 -1262.79 -78.1 115 530.94 false false false false false
4372 2488.6 -1260.07 -78.1 115 562.22 false false false false false
4412 2466.0 -1257.46 -78.1 115 583.42 false false false false false
4494 2432.02 -1252.35 -78.1 115 616.04 false false false false false
4540 2409.6 -1248.5 -78.1 115 637.86 false false false false false
4594 2387.21 -1244.48 -78.1 115 659.8 false false false false false
4657 2353.41 -1238.27 -77.15 115 693.07 false false false false false
4708 2330.57 -1234.01 -79.1 115 715.64 false false false false false
4765 2308.23 -1229.75 -76.95 115 737.79 false false false false false
4819 2274.61 -1222.65 -74.11 115 771.47 false false false false false
4873 2252.06 -1217.05 -79.1 115 794.4 false false false false false
4927 2230.19 -1210.79 -79.1 115 816.99 false false false false false
4989 2208.13 -1203.53 -79.1 115 840.15 false false false false false
5045 2186.76 -1195.73 -79.1 115 862.87 false false false false false
5110 2154.75 -1183.23 -79.1 115 897.23 false false false false false
5156 2133.22 -1174.5 -79.1 115 920.46 false false false false false
5215 2112.29 -1165.6 -79.1 115 943.21 false false false false false
5285 2084.74 -1145.82 -79.1 115 976.25 false false false false false
5348 2066.54 -1116.74 -79.1 115 1004.54 false false false false false
5398 2057.07 -1096.06 -79.1 115 1021.73 false false false false false
5444 2048.42 -1074.5 -79.1 115 1038.77 false false false false false
5495 2040.47 -1053.19 -79.1 115 1055.31 false false false false false
5550 2032.61 -1031.33 -79.1 115 1072.26 false false false false false
5598 2025.68 -1009.69 -79.1 115 1088.51 false false false false false
5654 2029.02 -975.65 -79.1 115 1102.17 false false false false false
5705 2035.9 -953.47 -79.1 115 1107.52 false false false false false
5762 2043.17 -931.94 -79.1 115 1112.65 false false false false false
5812 2043.05 -908.76 -79.1 115 1125.31 false false false false false
5859 2041.25 -897.77 -79.1 115 1132.87 false false false false false
5914 2035.75 -875.2 -79.1 115 1150.07 false false false false false
5970 2028.89 -841.56 -79.1 115 1175.01 false false false false false
6036 2027.12 -818.4 -79.1 115 1190.08 true true false false false
6095 2026.84 -784.03 -79.1 115 1211.06 true true false false false
6143 2026.85 -760.8 -79.1 115 1225.42 true true false false false
6197 2026.01 -726.45 -79.1 115 1247.81 true true false false false
6251 2024.67 -703.74 -79.1 115 1263.5 true true false false false
6303 2022.96 -680.57 -79.1 115 1279.99 true true false false false
6358 2020.86 -657.93 -79.1 115 1296.61 true true false false false
6405 2017.71 -634.91 -79.1 115 1314.45 true true false false false
6456 2013.63 -612.53 -79.1 115 1332.7 true true false false false
6524 2014.3 -598.02 -79.1 115 1342.2 true true false false false
6567 2017.2 -593.45 -79.1 115 1343.28 true true false false false
6625 2017.46 -583.43 -79.1 115 1350.07 true true false false false
6671 2017.44 -573.6 -79.1 115 1356.97 true true false false false
6723 2023.91 -564.51 -79.1 115 1358.78 true true false false false
6795 2038.14 -530.94 -73.6 98 1372.91 false false false false false
6845 2047.73 -508.8 -73.15 98 1382.54 false false false false false
6893 2063.83 -476.1 -77.29 98 1396.1 false false false false false
6958 2075.55 -455.01 -83.21 98 1404.44 true true false false false
7017 2089.73 -436.46 -79.15 98 1409.59 true true false false false
7067 2105.61 -420.18 -79.15 98 1412.28 true true false false false
7116 2119.97 -402.56 -79.15 98 1417.33 true true false false false
7178 2131.42 -382.38 -77.0 98 1426.51 true true false false false
7213 2139.55 -360.62 -72.08 98 1439.24 true true false false false
7265 2145.79 -338.25 -70.09 98 1453.82 true true false false false
7315 2151.38 -316.2 -68.3 98 1468.73 true true false false false
7366 2156.98 -294.15 -66.51 98 1483.83 true true false false false
7414 2161.66 -271.4 -65.01 98 1500.21 true true false false false
7477 2161.33 -236.67 -65.11 98 1529.56 true true false false false
7518 2157.3 -213.8 -65.68 98 1551.03 true true false false false
7570 2152.45 -191.56 -65.1 98 1572.45 true true false false false
7621 2149.77 -168.99 -65.93 98 1593.05 true true false false false
7670 2150.65 -145.79 -30.1 98 1613.07 true true false false false
7726 2153.52 -122.74 -30.1 98 1631.38 true true false false false
7769 2156.44 -99.69 -30.1 98 1649.78 true true false false false
7825 2157.67 -76.98 -30.1 98 1668.85 true true false false false
7871 2157.02 -53.77 -46.09 98 1688.98 true true false false false
7923 2155.81 -31.04 -47.37 98 1709.4 true true false false false
7974 2154.52 -7.85 -50.68 98 1730.28 true true false false false
8021 2153.28 15.35 -56.64 98 1751.18 true true false false false
8077 2152.19 38.07 -65.04 98 1771.64 true true false false false
8141 2151.26 61.29 -76.24 98 1792.56 true true false false false
8190 2150.64 84.02 -78.44 98 1813 true true false false false
8239 2150.05 107.25 -78.15 98 1833.93 true true false false false
8297 2149.02 130.45 -78.15 98 1855.09 true true false false false
8343 2146.04 164.69 -78.15 98 1887.05 true true false false false
8394 2142.88 187.7 -78.15 98 1909.09 true true false false false
8450 2138.56 210.03 -78.15 98 1931.05 true true false false false
8496 2126.07 229.48 -78.15 98 1954 true true false false false
8553 2107.92 243.9 -78.15 98 1974.95 true true false false false
8603 2087.62 254.12 -78.15 98 1993.16 true true false false false
8650 2065.77 262.0 -78.15 98 2010.09 true true false false false
8698 2043.95 268.42 -78.15 98 2025.83 true true false false false
8755 2021.52 274.48 -78.15 98 2041.68 true true false false false
8809 2000.45 283.91 -78.15 98 2059.98 false false false false false
8854 1981.88 297.04 -78.15 98 2080.4 true false false false false
8910 1963.18 310.83 -78.15 98 2101.52 true false false false false
8961 1949.55 328.97 -78.15 98 2124 true false false false false
9014 1936.15 360.56 -78.15 98 2158.12 true false false false false
9067 1929.18 382.73 -78.15 98 2180.89 true false false false false
9117 1921.71 404.72 -78.15 98 2203.75 true false false false false
9178 1903.47 426.19 -78.15 59 2231.36 true false false false false
9226 1885.84 447.42 -80.72 59 2258.48 true false false false false
9279 1870.84 467.63 -80.35 59 2283.43 true false false false false
9336 1855.75 499.0 -78.2 59 2318.18 true false false false false
9381 1847.94 520.36 -78.2 59 2340.64 true false false false false
9460 1836.66 552.82 -78.2 59 2374.51 true false false false false
9515 1827.88 574.32 -78.2 59 2397.58 true false false false false
9561 1817.49 595.1 -78.2 59 2420.79 true false false false false
9607 1804.08 613.87 -78.2 59 2443.7 true false false false false
9661 1785.35 617.6 -71.18 59 2456.06 true false false false false
9711 1762.84 615.87 -69.91 59 2465.63 true false false false false
9759 1739.7 615.65 -70.11 59 2476.98 true false false false false
9834 1717.27 609.65 -78.1 59 2483.14 true false false false false
9878 1685.96 595.55 -78.1 59 2487.22 true false false false false
9925 1665.73 584.14 -78.1 59 2488.15 true false false false false
9972 1640.79 558.26 -78.13 20 2479.66 true false false false false
10026 1615.57 532.66 -80.71 20 2472.05 true false false false false
10076 1593.33 510.73 -79.23 20 2466.28 false false false false false
10126 1576.28 494.95 -78.15 20 2462.97 false false false false false
10177 1550.87 471.1 -78.15 20 2458.16 false false false false false
10228 1534.63 455.17 -78.15 20 2454.79 false false false false false
10283 1519.19 438.48 -78.15 20 2450.53 false false false false false
10333 1504.64 420.36 -78.15 20 2444.81 false false false false false
10381 1491.05 402.14 -78.15 20 2438.62 false false false false false
10429 1472.89 388.51 -78.15 20 2439.06 false false false false false
10475 1452.25 377.86 -78.15 20 2443.6 false false false false false
10527 1431.24 369.14 -78.15 20 2450.07 false false false false false
10576 1409.43 361.15 -78.15 20 2457.81 false false false false false
10629 1387.76 354.33 -78.15 20 2466.54 false false false false false
10677 1364.59 355.12 -78.15 20 2482.2 false false false false false
10727 1330.51 359.51 -78.15 20 2507.86 false false false false false
10784 1307.77 359.41 -78.1 20 2522.83 true true false false false
10835 1284.7 356.74 -68.55 20 2536.26 true true false false false
10878 1262.3 352.79 -67.16 20 2548.41 true true false false false
10929 1239.96 348.48 -71.14 20 2560.38 true true false false false
10984 1216.99 345.01 -73.8 20 2573.55 true true false false false
11034 1194.38 342.53 -78.1 20 2587.33 true true false false false
11096 1160.19 339.14 -78.1 20 2608.67 true true false false false
11139 1137.17 336.03 -78.1 20 2622.6 true true false false false
11192 1114.87 331.56 -78.1 20 2635.2 true true false false false
11240 1091.75 333.04 -78.1 20 2652.69 true true false false false
11290 1069.97 339.54 -78.1 20 2672.8 true true false false false
11337 1048.85 349.21 -78.1 20 2694.68 true true false false false
11426 1011.17 374.56 -78.1 20 2739.39 true true false false false
11478 993.81 390.0 -78.1 20 2762.61 true true false false false
11534 978.03 406.38 -78.1 20 2785.34 true true false false false
11591 967.97 438.85 -78.1 20 2815.16 true true false false false
11644 969.92 461.95 -64.43 20 2829.98 true true false false false
11689 976.39 484.25 -62.38 20 2841.12 true true false false false
11744 985.1 491.88 -60.45 20 2840.4 true true false false false
11806 994.31 493.53 -65.32 20 2835.08 true true false false false
11876 1007.38 498.37 -45.03 20 2829.55 true true false false false
11916 1015.46 500.54 -45.88 20 2825.45 true true false false false
11963 1023.27 510.1 -45.73 20 2826.9 true true false false false
12016 1031.48 525.84 -68.31 20 2832.42 true true false false false
12067 1051.09 552.68 -78.39 20 2838.52 true true false false false
12116 1060.97 573.16 -65.06 20 2846.9 true true false false false
12159 1069.3 593.81 -64.33 20 2856.58 true true false false false
12222 1077.34 612.18 -50.68 20 2864.98 true true false false false
12280 1077.27 612.32 -50.19 20 2865.14 true true false false false
12328 1079.04 612.05 -50.33 20 2863.76 true true false false false
12371 1079.6 611.01 -50.89 20 2862.6 true true false false false
12426 1080.72 605.25 -55.84 20 2857.52 true true false false false
12477 1081.94 597.33 -57.83 20 2850.78 true true false false false
12524 1083.44 587.44 -62.46 20 2842.39 true true false false false
12574 1085.47 575.9 -69.57 20 2832.43 true true false false false
12629 1092.61 551.77 -76.59 20 2809.75 false false false false false
12679 1100.83 530.81 -78.1 20 2788.72 false false false false false
12726 1109.97 509.45 -78.1 20 2766.81 false false false false false
12773 1119.44 488.23 -78.1 20 2744.79 false false false false false
12826 1132.25 469.67 -78.1 20 2722.47 false false false false false
12877 1150.79 455.73 -78.1 20 2699.64 false false false false false
12928 1170.84 445.0 -78.1 20 2678.16 false false false false false
12976 1193.22 439.91 -78.1 20 2659.3 false false false false false
13028 1215.58 443.74 -78.1 20 2647.14 false false false false false
13086 1246.83 457.88 -78.1 20 2636.99 false false false false false
13146 1266.81 469.71 -78.1 20 2632.83 false false false false false
13194 1288.85 475.16 -78.1 20 2622.67 false false false false false
13247 1312.02 476.67 -78.1 20 2608.91 false false false false false
13309 1346.35 475.47 -78.1 20 2586.12 false false false false false
13355 1368.15 469.74 -78.1 20 2567.91 false false false false false
13401 1387.43 456.85 -78.1 20 2545.77 false false false false false
13452 1404.18 441.48 -78.1 20 2523.3 false false false false false
13499 1419.72 424.86 -78.1 20 2500.61 false false false false false
13556 1434.92 407.29 -78.1 20 2477.4 false false false false false
13609 1449.47 389.8 -78.1 20 2454.65 false false false false false
13665 1479.12 376.21 -78.1 20 2425.55 false false false false false
13720 1501.67 381.21 -78.1 20 2415.57 false false false false false
13774 1531.68 397.81 -78.1 20 2410.51 false false false false false
13834 1549.99 411.29 -78.1 20 2410.34 false false false false false
13884 1568.06 425.9 -78.1 20 2411.45 false false false false false
13934 1585.42 440.6 -78.1 20 2413.26 false false false false false
13987 1603.04 455.74 -78.1 20 2415.5 false false false false false
14034 1629.27 477.18 -78.1 20 2418.33 false false false false false
14096 1649.29 488.6 -78.1 20 2416.69 false false false false false
14144 1671.79 491.53 -78.1 20 2406.79 false false false false false
14207 1694.85 488.93 -78.1 20 2392.11 false false false false false
14258 1727.44 478.25 -78.1 20 2365.65 false false false false false
14311 1747.94 467.33 -78.1 20 2345.54 false false false false false
14366 1766.93 453.97 -78.1 20 2324.2 false false false false false
14417 1784.13 438.37 -78.1 20 2301.91 false false false false false
14464 1806.09 411.97 -78.1 20 2267.94 false false false false false
14514 1823.65 397.59 -78.1 20 2246.54 false false false false false
14581 1854.48 381.42 -78.1 20 2216.85 false false false false false
14640 1875.8 372.17 -78.1 20 2198.07 false false false false false
14688 1896.52 362.79 -78.1 20 2179.56 false false false false false
14739 1917.07 351.96 -78.1 20 2159.96 false false false false false
14793 1936.35 339.9 -78.1 20 2139.98 false false false false false
14841 1950.13 321.33 -78.1 20 2117.04 false false false false false
14898 1960.72 288.22 -78.1 20 2082.99 false false false false false
14946 1962.72 277.27 -78.1 20 2072.47 false false false false false
14998 1966.92 243.17 -78.1 20 2040.77 false false false false false
15047 1968.87 220.5 -78.1 20 2020.17 false false false false false
15095 1970.48 197.33 -78.1 20 1999.35 false false false false false
15146 1971.66 174.13 -78.1 20 1978.78 false false false false false
15192 1972.39 150.91 -78.1 20 1958.49 false false false false false
15247 1972.77 128.16 -78.1 20 1938.85 false false false false false
15295 1972.94 104.93 -78.1 20 1918.97 false false false false false
15349 1972.99 82.19 -78.1 20 1899.66 false false false false false
15404 1972.98 58.95 -78.1 20 1880.03 false false false false false
15451 1972.95 35.72 -78.1 20 1860.5 false false false false false
15510 1972.98 12.49 -78.1 20 1841.02 false false false false false
15551 1973.42 -21.88 -78.1 20 1812.15 false false false false false
15601 1974.25 -45.09 -78.1 20 1792.46 false false false false false
15642 1975.5 -68.29 -78.1 20 1772.63 false false false false false
15704 1976.93 -90.99 -78.1 20 1753.19 false false false false false
