BotName Bulent
Time LocX LocY LocZ Health DistToEnemy Shooting AltShooting EnemyVisibility Jumping Crouching
1485 2377.47 -2364.29 -78.1 100 2008.26 false false true false false
1485 2377.47 -2364.29 -78.1 100 2008.26 false false true false false
1534 2356.34 -2371.31 -78.1 100 2005.64 false false true false false
1585 2329.52 -2377.72 -78.1 100 2000.38 false false true false false
1630 2306.66 -2383.61 -78.1 100 1996.58 false false false false false
1680 2296.0 -2388.24 -78.1 100 1996.64 false false false false false
1729 2259.61 -2387.43 -78.1 100 1981.93 false false false false false
1780 2249.98 -2385.36 -78.1 100 1951.17 false false true false false
1828 2245.36 -2384.38 -78.1 100 1939.56 false false true false false
1890 2261.26 -2376.01 -78.1 100 1926.57 false false true false false
1943 2269.86 -2372.81 -78.1 100 1911.37 false false true false false
1993 2296.01 -2364.38 -78.1 100 1900.36 false false true false false
2047 2322.32 -2356.09 -78.1 100 1900.03 false false false false false
2102 2340.64 -2349.82 -78.1 100 1899.56 false false false false false
2151 2341.01 -2352.9 -78.1 100 1902.6 false false false false false
2201 2333.34 -2358.69 -78.1 100 1905.8 false false false false false
2250 2320.26 -2366.9 -78.1 100 1909.75 false false false false false
2310 2310.1 -2372.84 -78.1 100 1912.48 false false false false false
2360 2277.31 -2390.54 -78.1 100 1920.35 false false false false false
2409 2263.77 -2397.01 -78.1 100 1922.99 false false false false false
2459 2237.78 -2407.52 -78.1 100 1781.31 false false true false false
2508 2211.25 -2406.48 -78.1 100 1758.78 false false true false false
2572 2179.25 -2397.06 -78.1 100 1724.07 false false true false false
2622 2168.88 -2389.92 -78.1 100 1693.4 false false true false false
2670 2152.24 -2364.6 -78.1 100 1631.75 false false true false false
2719 2144.07 -2337.26 -78.1 100 1580.54 false false true false false
2769 2141.49 -2323.46 -78.1 100 1543.83 false false true false false
2829 2136.66 -2284.08 -78.1 100 1481.43 false false true false false
2884 2135.4 -2270.59 -78.1 100 1444.65 false false true false false
2938 2132.77 -2244.09 -78.1 100 1383.2 false false true false false
3001 2130.22 -2219.54 -78.1 100 1335.83 false false true false false
3087 2127.11 -2191.16 -73.2 100 1272.52 false false true false false
3130 2122.55 -2150.27 -75.89 100 1197.04 false false true false false
3180 2114.66 -2117.19 -78.1 100 1140.24 false false true false false
3228 2101.6 -2097.44 -78.1 100 1096.39 false false true false false
3282 2093.73 -2088.24 -78.1 100 1063.94 false false true false false
3329 2069.93 -2064.82 -78.1 100 1016.47 false false true false false
3379 2054.44 -2050.93 -78.1 100 978.75 false false true false false
3431 2041.32 -2039.45 -78.1 100 943.73 false false true false false
3477 2022.27 -2011.99 -78.1 100 892.94 false false true false false
3527 2017.57 -1996.72 -78.1 100 843.95 false false true false false
3587 2014.32 -1959.54 -78.1 100 785.98 true false true false false
3640 2020.03 -1944.62 -78.1 100 752.55 true false true false false
3683 2028.26 -1922.98 -78.1 100 709.51 true false true false false
3732 2031.63 -1904.41 -78.1 100 668.04 true false true false false
3781 2035.9 -1868.85 -78.1 100 609.59 true false true false false
3832 2037.26 -1855.37 -78.1 100 573.81 true false true false false
3880 2041.17 -1818.3 -78.1 100 515.33 true false true false false
3931 2038.9 -1809.27 -78.1 100 491.89 true false true false false
3980 2016.15 -1789.31 -75.95 100 465.89 true true true false false
4029 1998.76 -1781.98 -75.15 100 462.33 true true true false false
4093 1965.45 -1773.63 -75.15 100 469.28 true true true false false
4130 1952.57 -1771.39 -75.15 100 478.25 true true true false false
4181 1924.74 -1768.08 -75.15 100 497.46 true true true false false
4229 1901.58 -1777.65 -75.15 100 527.95 true true true false false
4278 1899.69 -1793.64 -73.62 100 550.81 true true true false false
4335 1900.01 -1807.63 -74.72 100 569.11 true true true false false
4383 1903.53 -1834.96 -78.15 100 593.3 true true true false false
4429 1906.95 -1851.55 -78.15 100 606.45 true true true false false
4478 1913.31 -1878.39 -78.15 100 622.35 true true true false false
4527 1920.24 -1906.09 -78.15 100 636.88 true true true false false
4578 1923.6 -1921.21 -78.15 100 654.23 true true true false false
4625 1928.07 -1948.93 -78.15 100 684.11 true true true false false
4675 1928.77 -1977.72 -78.15 100 723.44 true true true false false
4724 1921.16 -1989.61 -78.15 100 737.32 true true false false false
4775 1899.87 -2000.78 -78.15 100 760.06 true true false false false
4823 1877.15 -1998.33 -78.15 100 774.2 true true false false false
4872 1854.67 -1988.25 -62.6 100 783.48 true true false false false
4922 1839.21 -1969.08 -55.71 100 782.16 true true false false false
4972 1837.88 -1945.62 -51.09 100 768 true true false false false
5023 1838.96 -1921.93 -56.54 100 751.95 true true false false false
5079 1841.33 -1896.88 -57.87 100 734.61 true true false false false
5119 1844.27 -1880.68 -55.74 100 928.89 true true true false false
5177 1847.34 -1879.14 -53.99 100 949.86 true true true false false
5218 1850.12 -1878.96 -54.66 100 969.69 true true true false false
5268 1852.72 -1878.92 -55.96 100 967.49 true true false false false
5317 1854.62 -1878.92 -57.9 100 965.88 true true false false false
5367 1857.96 -1878.76 -59.86 100 963 true true false false false
5415 1863.6 -1874.32 -49.97 100 956.08 true true false false false
5464 1866.17 -1874.32 -51.58 100 953.92 true true false false false
5516 1870.59 -1872.65 -54.77 100 949.26 true true false false false
5563 1874.93 -1872.36 -56.84 100 945.48 true true false false false
5615 1879.59 -1870.1 -61.91 100 940.27 true true false false false
5661 1884.66 -1865.37 -70.35 100 933.3 true true false false false
5711 1889.8 -1859.07 -81.77 100 925.45 true true false false false
5761 1893.63 -1852.12 -76.35 100 918.34 true true false false false
5810 1898.56 -1838.9 -63.39 100 906.94 true true false false false
5861 1904.42 -1822.81 -66.71 100 893.09 false false false false false
5909 1910.82 -1807.7 -72.3 100 876.9 false false true false false
5959 1918.63 -1791.89 -77.68 100 848.67 false false true false false
6009 1934.34 -1772.78 -75.15 93 810.81 false false true false false
6058 1950.35 -1757.31 -75.15 93 774.04 false false true false false
6111 1967.09 -1742.64 -75.15 93 736.18 false false true false false
6160 1984.56 -1728.08 -75.15 85 697.84 false false true false false
6209 1998.88 -1711.26 -75.15 85 660.04 false false true false false
6259 2011.12 -1680.25 -79.1 85 614.54 true true true false false
6309 2016.59 -1657.18 -79.1 85 579.15 true true true false false
6359 2020.56 -1633.8 -79.1 85 543.78 true true true false false
6410 2015.84 -1610.66 -79.1 85 515.29 true true true false false
6459 2005.48 -1590.43 -79.1 85 483.22 true true true false false
