BotName Bulent
Time LocX LocY LocZ Health DistToEnemy Shooting AltShooting EnemyVisibility Jumping Crouching
1650 1041.23 140.36 -78.15 100 1060.9 false false true false false
1650 1041.23 140.36 -78.15 100 1060.9 false false true false false
1704 1039.06 112.85 -78.15 105 1049.61 false false true false false
1753 1037.28 86.29 -78.15 105 1039.01 false false true false false
1795 1036.16 67.93 -78.15 105 1031.92 false false false false false
1845 1034.49 37.97 -78.15 105 1020.82 false false false false false
1896 1033.25 13.8 -78.15 105 1012.32 false false false false false
1944 1032.21 -8.18 -78.15 105 1004.95 false false false false false
1998 1031.79 -17.2 -78.15 105 1002.05 false false false false false
2056 1031.6 -21.42 -78.15 105 1000.71 false false false false false
2096 1031.54 -22.6 -78.15 105 1000.34 false false false false false
2146 1031.53 -28.64 -78.15 105 998.22 false false false false false
2199 1031.96 -51.36 -78.15 110 990.06 false false false false false
2247 1031.96 -51.36 -78.15 110 990.06 false false false false false
2296 1034.6 -94.35 -78.15 110 974.13 false false false false false
2346 1036.53 -123.82 -78.15 110 964.06 false false false false false
2395 1036.53 -123.82 -78.15 110 964.06 false false false false false
2444 1038.47 -152.8 -78.15 110 954.9 false false false false false
2494 1039.3 -165.32 -78.15 110 951.2 false false false false false
2543 1039.3 -165.32 -78.15 110 951.2 false false false false false
2596 1039.55 -169.02 -78.15 110 950.13 false false false false false
2645 1039.55 -169.02 -78.15 110 950.13 false false false false false
2721 1039.63 -170.28 -78.15 110 949.77 false false false false false
2753 1039.63 -170.28 -78.15 110 949.77 false false false false false
2810 1039.63 -170.28 -78.15 110 949.77 false false false false false
2867 1040.47 -171.13 -78.15 110 948.77 false false false false false
2918 1043.01 -173.49 -78.15 110 945.77 false false false false false
2970 1063.08 -187.65 -78.15 110 923.15 false false false false false
3044 1092.58 -207.29 -78.15 110 890.31 false false false false false
3109 1118.92 -224.5 -78.15 110 861.22 false false false false false
3171 1144.06 -240.87 -78.15 110 833.63 false false false false false
3220 1156.37 -259.42 -78.15 110 818.57 false false false false false
3280 1162.21 -271.12 -78.15 110 811.15 false false false false false
3325 1169.93 -300.11 -67.83 110 800.18 false false false false false
3374 1174.17 -320.98 -67.83 110 794.16 false false false false false
3424 1179.07 -348.63 -67.83 110 787.71 false false false false false
3473 1185.08 -380.0 -67.83 110 781.1 false false false false false
3524 1188.88 -396.5 -70.55 110 777.46 false false false false false
3573 1192.93 -412.46 -78.1 110 773.88 false false false false false
3624 1200.0 -435.6 -78.1 110 768.16 false false false false false
3674 1208.27 -458.86 -78.1 110 761.99 false false false false false
3739 1217.22 -481.34 -78.1 110 755.79 false false false false false
3791 1230.12 -509.51 -78.1 110 747.4 false false false false false
3841 1241.19 -531.03 -78.1 110 740.61 false false false false false
3891 1261.84 -565.48 -78.1 110 728.44 false false false false false
3942 1275.76 -575.94 -78.1 110 717.78 false false false false false
3993 1305.61 -587.14 -78.1 110 692.4 false false false false false
4043 1322.28 -590.2 -78.1 110 677.46 false false false false false
4100 1342.03 -592.09 -78.1 110 659.33 false false false false false
4143 1366.71 -592.42 -78.1 110 636.13 false false false false false
4193 1393.32 -591.77 -78.1 110 610.89 false false false false false
4265 1436.84 -589.99 -78.1 110 569.63 false false false false false
4313 1449.9 -589.39 -78.1 110 557.29 false false false false false
4374 1473.59 -588.24 -78.1 110 534.97 false false false false false
4412 1499.69 -586.95 -78.1 110 510.52 false false false false false
4480 1523.87 -586.14 -78.1 110 488.18 false false false false false
4537 1561.05 -588.59 -78.1 110 455.89 false false false false false
4578 1575.99 -587.28 -78.1 110 442.06 false false false false false
4628 1611.89 -581.86 -78.1 110 408 false false false false false
4684 1638.83 -578.98 -78.1 110 383.34 false false false false false
4752 1654.77 -577.85 -78.1 110 369.22 false false false false false
4802 1694.91 -576.46 -79.1 110 335.24 false false false false false
4856 1708.95 -576.16 -79.1 110 323.81 false false false false false
4906 1745.24 -575.67 -79.1 110 295.49 false false false false false
4963 1760.06 -580.16 -79.1 110 287.7 false false false false false
5014 1785.69 -596.51 -79.1 110 282.31 false false false false false
5064 1797.83 -607.64 -79.1 110 283.59 false false false false false
5116 1819.75 -632.17 -79.1 110 292.11 false false false false false
5170 1830.2 -645.49 -79.1 110 298.81 false false false false false
5222 1853.84 -680.33 -79.1 110 321.22 false false false false false
5274 1859.57 -689.31 -79.1 110 327.74 false false false false false
5323 1878.03 -719.45 -79.1 110 351.3 false false false false false
5374 1884.03 -729.39 -79.1 110 359.51 false false false false false
5426 1896.69 -750.58 -79.1 110 377.64 false false false false false
5479 1917.97 -786.36 -79.1 110 409.83 false false false false false
5531 1926.86 -801.33 -79.1 110 423.78 false false false false false
5583 1943.66 -829.63 -79.1 110 450.82 false false false false false
5637 1948.85 -838.37 -79.1 110 459.32 false false false false false
5690 1962.07 -860.37 -79.1 110 481.02 false false false false false
5765 1975.25 -881.8 -79.1 110 502.51 false false false false false
5816 1971.99 -923.78 -79.1 110 544.44 false false false false false
5867 1970.03 -947.9 -79.1 110 568.54 false false false false false
5924 1969.47 -971.61 -79.1 110 592.25 false false false false false
5971 1972.14 -1008.77 -79.1 110 629.43 false false false false false
6022 1974.86 -1025.97 -79.1 110 646.66 false false false false false
6070 1980.85 -1054.89 -79.1 110 675.68 false false false false false
6120 1985.07 -1071.3 -79.1 110 692.19 false false false false false
6183 1993.52 -1099.57 -79.1 110 720.72 false false false false false
6232 2003.34 -1127.42 -79.1 110 748.98 false false false false false
6284 2008.32 -1140.02 -79.1 110 761.82 false false false false false
6332 2023.9 -1172.27 -79.1 110 795 false false false false false
6389 2035.93 -1192.12 -79.1 110 815.74 false false false false false
6438 2052.95 -1215.05 -79.1 110 840.18 false false false false false
6493 2063.22 -1227.28 -79.1 110 853.45 false false false false false
6544 2084.34 -1251.25 -79.1 110 879.86 false false false false false
6590 2101.84 -1270.65 -79.1 110 901.56 false false false false false
6641 2119.12 -1289.62 -79.1 110 923.02 false false false false false
6690 2134.47 -1306.41 -79.1 110 942.21 false false false false false
6740 2150.31 -1323.4 -79.1 110 961.83 false false false false false
6789 2164.33 -1336.76 -79.1 110 977.7 false false false false false
6840 2189.15 -1355.23 -79.1 110 1001.03 false false false false false
6893 2208.52 -1362.31 -79.1 110 1012.39 false false false false false
6945 2231.6 -1357.05 -79.1 110 1013.09 false false false false false
6997 2252.67 -1342.52 -79.1 110 1004.88 false false false false false
7046 2269.97 -1326.28 -79.1 110 994.47 false false false false false
7098 2288.87 -1316.67 -79.1 110 991.32 false false false false false
7148 2321.43 -1312.98 -79.1 110 998.94 false false false false false
7197 2343.9 -1316.39 -79.1 110 1010.32 false false false false false
7249 2364.05 -1323.21 -77.15 110 1024.31 false false false false false
7302 2385.76 -1334.91 -78.1 110 1043.63 false false false false false
7354 2404.41 -1347.04 -78.1 110 1062.31 false false false false false
7404 2426.6 -1353.75 -78.1 110 1077.72 false false false false false
7457 2458.37 -1356.78 -78.1 110 1094.38 false false false false false
7502 2483.05 -1356.67 -78.1 110 1105.6 false false false false false
7552 2504.33 -1355.88 -78.1 110 1115.02 false false false false false
7601 2526.08 -1354.71 -78.1 110 1124.66 false false false false false
7654 2551.21 -1353.13 -78.1 110 1136.03 false false false false false
7701 2572.87 -1351.11 -78.1 110 1145.62 false false false false false
7749 2595.65 -1339.43 -78.1 110 1148.06 false false false false false
7808 2616.17 -1324.05 -78.1 110 1146.74 false false false false false
7847 2629.95 -1314.19 -78.1 110 1146.55 false false false false false
7898 2661.42 -1300.74 -78.1 110 1154.29 false false false false false
