BotName Jack
Time LocX LocY LocZ Health DistToEnemy Shooting AltShooting EnemyVisibility Jumping Crouching
2083 2996.07 -2175.12 -78.15 100 9.58 false false true false false
2083 2996.07 -2175.12 -78.15 100 9.58 false false true false false
2135 2998.38 -2190.4 -78.15 100 25.03 false false true false false
2213 2994.81 -2220.95 -78.15 100 55.25 false false true false false
2243 2984.48 -2241.2 -78.15 100 76.14 false false false false false
2305 2971.6 -2260.53 -78.15 100 97.51 false false false false false
2355 2958.03 -2278.79 -78.15 100 118.77 false false false false false
2411 2943.29 -2296.74 -78.15 100 140.63 false false false false false
2484 2928.18 -2313.74 -78.15 100 162.14 false false false false false
2501 2902.25 -2335.79 -78.15 100 193.41 false false false false false
2554 2880.21 -2343.01 -78.15 100 210.86 false false false false false
2625 2857.79 -2346.83 -78.15 100 226.82 false false false false false
2664 2834.64 -2348.79 -78.15 100 242.94 false false false false false
2707 2811.91 -2349.49 -78.15 100 258.94 false false false false false
2757 2789.16 -2349.39 -78.15 100 275.38 false false false false false
2827 2754.82 -2348.27 -78.15 100 301.15 false false false false false
2878 2732.09 -2347.17 -78.15 100 318.9 false false false false false
2926 2709.38 -2345.93 -78.15 100 337.16 false false false false false
3001 2675.07 -2343.95 -78.15 100 365.64 false false false false false
3046 2652.6 -2349.55 -78.15 100 388.04 false false false false false
3096 2632.3 -2359.77 -78.15 100 410.76 false false false false false
3150 2603.77 -2378.91 -78.15 100 444.96 false false false false false
3203 2581.9 -2386.56 -78.15 100 467.83 false false false false false
3252 2559.33 -2389.26 -78.15 100 489.08 false false false false false
3307 2536.6 -2389.1 -78.15 100 509.33 false false false false false
3365 2513.7 -2385.31 -78.15 100 528.42 false false false false false
3405 2492.81 -2376.45 -78.15 100 543.99 false false false false false
3457 2467.3 -2353.65 -78.15 100 559.53 false false false false false
3506 2452.86 -2336.01 -78.15 100 567.61 false false false false false
3548 2433.19 -2330.18 -78.15 100 584.74 false false false false false
3609 2410.13 -2332.49 -78.15 100 607.53 false false false false false
3648 2386.54 -2339.7 -78.15 100 632.2 false false false false false
3722 2365.35 -2347.97 -78.15 100 654.85 false false false false false
3757 2344.28 -2356.55 -78.15 100 677.48 false false false false false
3816 2312.31 -2369.13 -78.15 100 711.7 false false false false false
3858 2290.46 -2377.04 -78.15 100 734.9 false false false false false
3916 2268.71 -2383.69 -78.15 100 757.65 false false false false false
3970 2246.18 -2389.34 -78.15 100 780.85 false false false false false
4027 2223.36 -2393.5 -78.15 100 803.91 false false false false false
4073 2200.65 -2388.91 -78.15 100 824.46 false false false false false
4120 2183.69 -2374.46 -78.15 100 837.08 false false false false false
4167 2172.59 -2354.65 -78.15 100 843.17 false false false false false
4213 2165.2 -2332.64 -78.15 100 845.76 false false false false false
4281 2158.34 -2298.49 -78.15 100 846.46 false false false false false
4332 2155.44 -2275.44 -78.15 100 846.03 false false false false false
4388 2153.28 -2252.8 -78.15 100 845.54 false false false false false
4439 2150.56 -2218.06 -72.03 100 845.41 false false false false false
4487 2148.91 -2194.88 -67.4 100 845.98 false false false false false
4546 2147.37 -2172.19 -65.85 100 847.06 false false false false false
4579 2139.18 -2151.05 -69.59 100 855.31 false false false false false
