BotName Bulent
Time LocX LocY LocZ Health DistToEnemy Shooting AltShooting EnemyVisibility Jumping Crouching
1838 2143.02 -2321.4 -78.1 48 1855.4 false false true false false
1838 2143.02 -2321.4 -78.1 48 1855.4 false false true false false
1887 2131.86 -2287.37 -78.1 48 1820.59 false false true false false
1935 2127.1 -2272.63 -78.1 48 1805.53 false false true false false
1988 2122.64 -2258.81 -78.1 48 1791.41 false false true false false
2039 2111.3 -2223.82 -78.1 48 1755.7 false false true false false
2084 2094.32 -2205.9 -78.1 48 1736.72 false false true false false
2133 2081.74 -2182.44 -78.1 48 1712.58 false false true false false
2193 2069.96 -2153.8 -78.1 48 1683.39 false false true false false
2248 2066.64 -2144.19 -78.1 48 1667.57 false false true false false
2289 2059.25 -2118.63 -78.1 48 1630.63 false false true false false
2337 2052.64 -2089.36 -78.1 48 1584.57 false false true false false
2389 2047.55 -2061.75 -78.1 48 1535.08 false false true false false
2436 2045.17 -2046.45 -78.1 48 1497.81 false false true false false
2487 2040.89 -2015.77 -78.1 40 1447.32 false false true false false
2538 2039.44 -2004.73 -78.1 40 1418 false false true false false
2585 2036.59 -1981.19 -78.1 40 1377 false false true false false
2640 2032.23 -1943.69 -78.1 40 1322.89 false false true false false
2684 2029.59 -1920.6 -78.1 40 1283.57 false false true false false
2736 2027.68 -1903.77 -78.1 33 1240.72 false false true false false
2785 2024.47 -1875.4 -78.1 33 1190.8 false false true false false
2844 2021.31 -1846.53 -78.1 33 1143.45 false false true false false
2885 2019.58 -1829.19 -78.1 25 1114.33 false false true false false
2934 2016.95 -1799.79 -78.1 25 1078.31 false false true false false
2983 2016.08 -1787.72 -78.1 25 1062.99 false false true false false
3039 2014.84 -1759.19 -75.15 18 1033.29 false false true false false
3085 2015.67 -1734.53 -75.15 11 1008.61 false false true false false
3148 2023.62 -1702.66 -75.15 4 977.58 false false true false false
3197 2031.27 -1687.03 -79.1 4 962.6 false false true false false
3247 2057.12 -1665.42 -79.1 4 943.09 false false false false false
